基金名稱,是複委託
復華5至10年期投資等級債券指數基金,TRUE
復華已開發國家300股票指數基金,TRUE
復華美國標普500低波動指數基金,TRUE
復華新興亞洲3至10年期美元債券指數基金 (本基金有相當比重投資於非投資等級之高風險債券),TRUE
復華新興市場3年期以上美元主權及類主權債券指數基金 (本基金有相當比重投資於非投資等級之高風險債券),TRUE
復華中國5G通信ETF基金,TRUE
復華復華基金,FALSE
復華台灣好收益基金,FALSE
復華美國標普500成長ETF基金,TRUE
復華台灣科技優息ETF基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),FALSE
復華台灣科技高股息基金 (基金之配息來源可能為本金及收益平準金且本基金並無保證收益及配息),FALSE
復華日本護城河優勢龍頭企業ETF基金,TRUE
復華全球平衡基金 (本基金有相當比重投資於非投資等級之高風險債券),TRUE
復華神盾基金,FALSE
永豐15年期以上ESG投資等級美元銀行債ETF基金 (本基金之配息來源可能為收益平準金),TRUE
永豐台灣科技趨勢主動式ETF基金 (本基金之配息來源可能為收益平準金),FALSE
永豐中小基金,FALSE
永豐趨勢平衡基金,FALSE
永豐亞洲民生消費基金,TRUE
永豐臺灣加權ETF基金,FALSE
永豐中國經濟建設基金,TRUE
永豐滬深300紅利指數基金,TRUE
永豐主流品牌基金,TRUE
永豐領航科技基金,FALSE
永豐10年期以上美元A級公司債券ETF基金,TRUE
永豐1至3年期美國公債ETF基金,TRUE
永豐20年期以上美國公債ETF基金,TRUE
永豐美國大型500股票ETF基金,TRUE
永豐臺灣ESG永續優選基金,FALSE
永豐永豐基金,FALSE
永豐中國科技50大ETF基金,TRUE
永豐台灣ESG永續優質ETF基金,FALSE
永豐美國科技ETF基金,TRUE
永豐台灣智能車供應鏈ETF基金,FALSE
永豐台灣優選入息存股ETF基金,FALSE
永豐ESG全球數位基礎建設基金 (本基金配息來源可能為本金),TRUE
永豐台灣ESG低碳高息40ETF基金,FALSE
永豐創新醫療多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
中國信託日經高股息50 ETF基金 (本子基金之配息來源可能為收益平準金且基金並無保證收益及配息),TRUE
中國信託日本商社及批發ETF基金,TRUE
中國信託日本半導體ETF基金,TRUE
中國信託亞太高股息ETF基金 (本子基金之配息來源可能為收益平準金且基金並無保證收益及配息),TRUE
中國信託全球高股息ETF基金 (本子基金之配息來源可能為收益平準金且本子基金並無保證收益及配息),TRUE
中國信託NASDAQ 100 ETF基金,TRUE
中國信託美國創新科技ETF基金,TRUE
中國信託美國聚焦成長基金,TRUE
中國信託ARK創新主動式ETF基金,TRUE
中國信託價值策略非投資等級債券主動式ETF基金 (本子基金之配息來源可能為收益平準金並無保證收益及配息),TRUE
中國信託策略優利多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且基金配息來源可能為本金及基金並無保證收益及配息),TRUE
中國信託台灣卓越成長主動式ETF基金,FALSE
